mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,overlap0,f
0.45136388851559367,0.33220944347250336,-0.19068879162767083,0.23008848545116833,0.44494535995834483,0.6685060248254471,1.121351649616304,0.9999317296707895,15000,1,0.9175333333333333
-0.08759689940652017,0.5010677152850737,-1.0602682498274618,-0.41938061989017406,-0.0929629287187084,0.23189021047288744,0.930874543746933,1.0003219706175055,10199,1,0.5788
-0.5334830124222121,0.29605822072552695,-1.1654965845692278,-0.723590478155401,-0.5144990194172734,-0.3278980128780171,2.0481580904709845e-4,1.0000744279908178,15000,1,0.9748666666666667
-0.07044822187999741,0.33162827075498047,-0.7231750668096133,-0.29103493160738825,-0.07378826889816455,0.15102266158818656,0.581194742795245,0.9999406004994862,15000,1,0.5872666666666667
-0.5267814613735304,0.36779174199603004,-1.26619188557917,-0.771465631876139,-0.5142009994726203,-0.2763898736197725,0.1799732862221179,1.0001514278006627,8270,1,0.9287333333333333
-0.4901338860570091,0.38919415883743796,-1.2606184460894174,-0.747265850416363,-0.4864935189395845,-0.22187475354624742,0.24974281394772893,1.0000054348836522,15000,1,0.8996
1.6880726960774248,0.5648958261721045,0.6720512457543006,1.3057581908043627,1.6507843044994666,2.0370253115431374,2.888070508219639,1.0001887501993727,15000,0,0.9993333333333333
0.08984363983545507,0.22834797845284704,-0.35097664271606305,-0.06351688074995371,0.08831566964070293,0.24250087468542497,0.5367689920662728,1.0002275427774039,15000,1,0.6542
0.013058544181437948,0.18297267814553103,-0.350198947804869,-0.1102967371046143,0.01350936516197282,0.1370019727397891,0.37231819339281924,1.000255915425866,10054,1,0.5312
-0.011781153161079147,0.3133408208143587,-0.7160430859816354,-0.12517330220963951,-0.002252393257261797,0.10830438641666582,0.6671173256977755,1.0004055996368626,11132,1,0.517
-0.035264640540661384,0.38939186273822524,-0.9514904927407357,-0.14176242008343876,-0.004573877855798886,0.09915918456414914,0.7194915051029311,1.0016418221241008,15000,1,0.5272
-0.05725243839756885,0.284851920284167,-0.7314143807265401,-0.16775251721121004,-0.018344920281644153,0.06158928302198864,0.5073084101409361,1.0003808695015792,13615,1,0.5778
-0.04631610870970977,0.30522674963723145,-0.7519751579084568,-0.15896270791412026,-0.01270652024364522,0.07497574178306883,0.5632119221779828,1.0004524984821346,5642,1,0.5572666666666667
0.06166856462129505,0.2502794495686511,-0.39110496218070623,-0.05481552129787971,0.018912162395320013,0.16097401615615065,0.6656911068903597,1.0006171431134967,7865,1,0.5818
0.02496864959084358,0.24570437778924395,-0.45385393360800885,-0.08606465766061827,0.0040955656488061015,0.11848731082056035,0.6049552266065754,1.0003812418571831,8437,1,0.5232666666666667
0.18849364828958395,0.32771068980715085,-0.23663349390836186,-0.005273138027080093,0.08505896421829148,0.3089089298491537,1.0517672011005215,1.0020476235718954,2783,1,0.7193333333333334
-0.015402641150197629,0.2637092151324093,-0.5797792420894677,-0.13205166078887226,-0.006258651816647934,0.08927719929445468,0.5731269999806675,1.0003207528578109,15000,1,0.5354
-0.18882869313049752,0.15381756409525277,-0.4960588841227024,-0.29173247337088787,-0.18654283101195884,-0.08654407100375298,0.11029129538041665,1.000094948777332,12879,1,0.8906
-1.4880556574342925,0.5651946750930497,-2.62093209954081,-1.8458725039766744,-1.4848176503116557,-1.130727184104379,-0.36423739016497586,1.0003650159483937,6187,0,0.9936
0.767929371362102,0.27231394068189885,0.21428932386585203,0.5982639529717517,0.7723532213997841,0.9468486356952692,1.293645758196391,1.0001310936708698,10788,0,0.9941333333333333
-0.7239258428448773,2.041633236977658,-5.254478793974591,-1.9626005806456854,-0.5783598429428665,0.6742387304792796,2.842746003963959,0.9999960207628461,15000,1,0.6198
1.407420216949156,1.4974430783754642,-1.5353895985798307,0.44310420710092324,1.387728827132141,2.3783563239230983,4.393627311897445,1.0000659688200642,15000,1,0.8376666666666667
-0.9507549826741792,1.946171878371704,-5.284006034077893,-2.088148505452911,-0.7814948875517995,0.3635053353093416,2.4491708345811665,1.0002710584759114,15000,1,0.6732
-1.091148506383651,1.899752232422347,-5.348288823200529,-2.1777263218303435,-0.9027642819594345,0.21099521031551932,2.1123450913380246,1.000278291546306,7988,1,0.7044
0.7632238697099368,1.3307236075326083,-1.9226655312445449,-0.08362740432192489,0.7789506525368062,1.6502156375315646,3.3435846483127567,0.9999964647446634,15000,1,0.7282
-1.5263017452261267,1.8046327623663725,-5.626647901552302,-2.5680391773832687,-1.3244459710850127,-0.3071126120123556,1.5155756866539714,1.000578582451608,8560,1,0.8109333333333333
-1.50692828644976,1.8498260160780837,-5.57434039552981,-2.5776609356141185,-1.3223154699167772,-0.23680105345138364,1.5938321698335365,1.0002859830714914,15000,1,0.7968
2.5157139864701734,1.5471743333813353,-0.3505632363118742,1.4645741071030927,2.448432068270516,3.486013792628027,5.775114891809412,1.000173279045407,10394,1,0.9551333333333333
1.5635503688335624,1.375068228967911,-1.0557328950376215,0.6361234197480485,1.513865342069455,2.442454861400264,4.388802689572747,0.9999773503448055,15000,1,0.8807333333333334
-2.177049679225386,1.7922270894334795,-6.2085884528195825,-3.2041282224012297,-2.018649794757318,-0.9548168798087284,0.9046638256916755,1.0001646290420725,9101,1,0.909
-1.9587427605653558,1.716899019504909,-5.941756964638698,-2.9100040512450365,-1.7711758512904723,-0.7742280290004436,0.8527051094544909,1.0001397263774596,15000,1,0.8989333333333334
-0.3943049019800685,1.2680322274580373,-3.030310603292824,-1.1974935596116858,-0.3507012213935345,0.4482120471022293,1.9928941689853066,1.0007014924075979,3237,1,0.6147333333333334
